user,system,iowait
63.7,0.0,0.0
64.3,0.0,0.0
64.3,0.2,0.0
63.5,1.1,0.4
64.2,0.0,0.0
64.4,0.0,0.0
60.5,0.3,2.8
63.8,0.4,0.3
64.4,0.0,0.0
64.4,0.0,0.0
64.4,0.0,0.0
64.3,0.0,0.0
64.3,0.0,0.0
61.9,0.0,0.0
64.4,0.1,0.0
64.3,0.0,0.0
63.8,0.0,0.0
64.0,0.4,0.0
63.2,0.9,0.0
63.9,0.5,0.0
63.6,0.8,0.0
64.0,0.3,0.0
64.3,0.3,0.0
63.6,0.7,0.0
63.8,0.5,0.0
63.1,0.1,0.0
63.2,0.0,0.0
